"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"12.06.2025","69,36","70,21","70,25","68,38","459,19K","-0,59%"
"11.06.2025","69,77","66,60","70,83","66,47","511,83K","4,34%"
"10.06.2025","66,87","67,12","68,00","66,48","343,94K","-0,25%"
"09.06.2025","67,04","66,59","67,19","66,07","281,13K","0,86%"
"06.06.2025","66,47","65,26","66,67","64,80","335,32K","1,73%"
"05.06.2025","65,34","64,77","65,85","64,60","260,73K","0,74%"
"04.06.2025","64,86","65,52","65,95","64,27","376,27K","-1,17%"
"03.06.2025","65,63","65,16","65,95","64,51","357,85K","1,55%"
"02.06.2025","64,63","63,20","65,76","63,00","478,84K","1,14%"
"30.05.2025","63,90","64,11","64,67","63,65","17,26K","-0,39%"
"29.05.2025","64,15","65,03","66,13","63,79","120,07K","-0,26%"
"28.05.2025","64,32","63,86","65,05","63,51","336,00K","1,18%"
"27.05.2025","63,57","64,12","64,49","62,96","342,54K","-0,86%"
"26.05.2025","64,12","64,42","64,81","63,89","88,47K","-0,14%"
"23.05.2025","64,21","63,50","64,65","62,80","333,49K","0,45%"
"22.05.2025","63,92","64,14","64,50","63,07","310,83K","-0,71%"
"21.05.2025","64,38","65,45","65,93","64,03","378,48K","-0,59%"
"20.05.2025","64,76","64,91","65,27","64,23","277,36K","-0,06%"
"19.05.2025","64,80","64,73","65,28","63,84","269,75K","-0,93%"
"16.05.2025","65,41","64,70","65,54","64,18","315,00K","1,36%"
"15.05.2025","64,53","65,42","65,42","63,44","446,38K","-2,36%"
"14.05.2025","66,09","66,56","66,59","65,68","302,75K","-0,81%"
"13.05.2025","66,63","64,93","66,81","64,63","345,46K","2,57%"
"12.05.2025","64,96","64,05","66,40","63,88","417,96K","1,64%"
"09.05.2025","63,91","63,07","64,27","62,84","326,19K","1,70%"
"08.05.2025","62,84","61,06","63,38","61,00","350,88K","2,81%"
"07.05.2025","61,12","62,50","63,25","60,83","367,74K","-1,66%"
"06.05.2025","62,15","60,28","62,80","60,18","385,65K","3,19%"
"05.05.2025","60,23","59,50","60,82","58,50","321,53K","-1,73%"
"02.05.2025","61,29","61,82","62,72","60,69","373,28K","-1,35%"
"01.05.2025","62,13","61,23","62,40","59,30","449,04K","-1,57%"
"30.04.2025","63,12","64,11","64,33","62,99","24,16K","-1,76%"
"29.04.2025","64,25","65,79","65,83","63,90","120,75K","-2,44%"
"28.04.2025","65,86","67,25","67,57","65,25","139,73K","-1,51%"
"25.04.2025","66,87","66,57","67,18","65,55","183,22K","0,48%"
